Wavelength (nm),5,10,15,20,25,35,45,55
260,0.99635,0.90794,0.86817,0.67822,0.5846,0.55178,0.3763,0.21305
259.9,0.99857,0.91204,0.87388,0.68281,0.59474,0.56203,0.38705,0.2187
259.8,1.0006,0.91552,0.87893,0.68677,0.6039,0.57086,0.3967,0.22414
259.7,1.00247,0.91844,0.88337,0.69013,0.61215,0.57836,0.40532,0.22937
259.6,1.00418,0.92088,0.88725,0.69293,0.61953,0.58464,0.41298,0.23438
259.5,1.00575,0.92287,0.89061,0.69523,0.6261,0.58977,0.41974,0.23918
259.4,1.00719,0.92449,0.89349,0.69705,0.63192,0.59385,0.42566,0.24376
259.3,1.00851,0.92577,0.89594,0.69843,0.63704,0.59696,0.4308,0.24811
259.2,1.00972,0.92677,0.89799,0.6994,0.64151,0.59918,0.43522,0.25225
259.1,1.01084,0.92752,0.89968,0.70001,0.64537,0.60059,0.43896,0.25616
259,1.01187,0.92808,0.90104,0.70027,0.64867,0.60125,0.44209,0.25985
258.9,1.01283,0.92847,0.90211,0.70023,0.65146,0.60125,0.44465,0.26332
258.8,1.01372,0.92875,0.90291,0.69991,0.65377,0.60064,0.44668,0.26656
258.7,1.01454,0.92893,0.90348,0.69934,0.65564,0.5995,0.44823,0.26959
258.6,1.01532,0.92906,0.90384,0.69855,0.65712,0.59787,0.44934,0.27239
258.5,1.01606,0.92916,0.90401,0.69756,0.65822,0.59582,0.45006,0.27498
258.4,1.01675,0.92926,0.90402,0.69639,0.659,0.5934,0.45041,0.27735
258.3,1.01742,0.92937,0.90389,0.69507,0.65948,0.59067,0.45043,0.2795
258.2,1.01805,0.92954,0.90363,0.69362,0.65969,0.58767,0.45016,0.28144
258.1,1.01867,0.92976,0.90328,0.69206,0.65966,0.58444,0.44963,0.28318
258,1.01926,0.93007,0.90283,0.69041,0.65942,0.58104,0.44887,0.2847
257.9,1.01985,0.93047,0.90231,0.68869,0.65898,0.57749,0.44789,0.28602
257.8,1.02042,0.93098,0.90173,0.68691,0.65838,0.57385,0.44674,0.28713
257.7,1.02098,0.93161,0.90111,0.68508,0.65763,0.57014,0.44544,0.28805
257.6,1.02154,0.93237,0.90044,0.68323,0.65677,0.56639,0.44399,0.28877
257.5,1.0221,0.93327,0.89975,0.68137,0.65579,0.56264,0.44244,0.28929
257.4,1.02265,0.93431,0.89904,0.6795,0.65473,0.55891,0.44079,0.28963
257.3,1.0232,0.9355,0.89831,0.67764,0.65359,0.55523,0.43906,0.28979
257.2,1.02375,0.93684,0.89757,0.6758,0.6524,0.55161,0.43726,0.28976
